;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
187979;1;2;3;4;6;7;8;9;10;12;17;20;21;23;25
194330;1;2;3;4;6;7;8;9;12;16;17;20;21;23;25
201689;1;2;3;4;6;7;8;10;13;16;17;20;21;23;25
215021;1;2;3;4;6;7;9;10;14;16;17;20;21;23;25
243639;1;2;3;4;6;8;9;12;13;14;17;20;21;23;25
355942;1;2;3;5;6;7;8;9;10;12;17;20;22;23;25
355953;1;2;3;5;6;7;8;9;10;12;18;19;20;21;25
355974;1;2;3;5;6;7;8;9;10;12;18;20;21;23;25
355987;1;2;3;5;6;7;8;9;10;12;19;20;21;22;25
355988;1;2;3;5;6;7;8;9;10;12;19;20;21;23;24
355992;1;2;3;5;6;7;8;9;10;12;19;20;22;23;25
355994;1;2;3;5;6;7;8;9;10;12;19;20;23;24;25
356001;1;2;3;5;6;7;8;9;10;12;20;21;22;23;25
356003;1;2;3;5;6;7;8;9;10;12;20;21;23;24;25
362293;1;2;3;5;6;7;8;9;12;16;17;20;22;23;25
362304;1;2;3;5;6;7;8;9;12;16;18;19;20;21;25
362325;1;2;3;5;6;7;8;9;12;16;18;20;21;23;25
362338;1;2;3;5;6;7;8;9;12;16;19;20;21;22;25
362339;1;2;3;5;6;7;8;9;12;16;19;20;21;23;24
362343;1;2;3;5;6;7;8;9;12;16;19;20;22;23;25
362345;1;2;3;5;6;7;8;9;12;16;19;20;23;24;25
362352;1;2;3;5;6;7;8;9;12;16;20;21;22;23;25
362354;1;2;3;5;6;7;8;9;12;16;20;21;23;24;25
369652;1;2;3;5;6;7;8;10;13;16;17;20;22;23;25
369663;1;2;3;5;6;7;8;10;13;16;18;19;20;21;25
369684;1;2;3;5;6;7;8;10;13;16;18;20;21;23;25
369697;1;2;3;5;6;7;8;10;13;16;19;20;21;22;25
369698;1;2;3;5;6;7;8;10;13;16;19;20;21;23;24
369702;1;2;3;5;6;7;8;10;13;16;19;20;22;23;25
369704;1;2;3;5;6;7;8;10;13;16;19;20;23;24;25
369711;1;2;3;5;6;7;8;10;13;16;20;21;22;23;25
369713;1;2;3;5;6;7;8;10;13;16;20;21;23;24;25
382984;1;2;3;5;6;7;9;10;14;16;17;20;22;23;25
382995;1;2;3;5;6;7;9;10;14;16;18;19;20;21;25
383016;1;2;3;5;6;7;9;10;14;16;18;20;21;23;25
383029;1;2;3;5;6;7;9;10;14;16;19;20;21;22;25
383030;1;2;3;5;6;7;9;10;14;16;19;20;21;23;24
383034;1;2;3;5;6;7;9;10;14;16;19;20;22;23;25
383036;1;2;3;5;6;7;9;10;14;16;19;20;23;24;25
383043;1;2;3;5;6;7;9;10;14;16;20;21;22;23;25
383045;1;2;3;5;6;7;9;10;14;16;20;21;23;24;25
411602;1;2;3;5;6;8;9;12;13;14;17;20;22;23;25
411613;1;2;3;5;6;8;9;12;13;14;18;19;20;21;25
411634;1;2;3;5;6;8;9;12;13;14;18;20;21;23;25
411647;1;2;3;5;6;8;9;12;13;14;19;20;21;22;25
411648;1;2;3;5;6;8;9;12;13;14;19;20;21;23;24
411652;1;2;3;5;6;8;9;12;13;14;19;20;22;23;25
411654;1;2;3;5;6;8;9;12;13;14;19;20;23;24;25
411661;1;2;3;5;6;8;9;12;13;14;20;21;22;23;25
