Concurso;data_sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Ganhadores_15_Números;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_Números;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números
1;2003-09-29;18;20;25;23;10;11;24;14;6;2;13;9;5;16;3;5;154;4645;48807;257593;49.765,8;689,8;10;4;2
2;2003-10-06;23;15;5;4;12;16;20;6;11;19;24;1;9;13;7;1;184;6232;81252;478188;596.323,7;1.389;10;4;2
3;2003-10-13;20;23;12;8;6;1;7;11;14;4;16;10;9;17;24;2;158;6897;96244;608211;400.623,7;2.173,4;10;4;2
4;2003-10-20;16;5;25;24;23;8;12;2;17;18;1;10;4;19;13;1;258;9569;123912;706657;902.226;1.498,7;10;4;2
5;2003-10-27;15;13;20;2;11;24;9;16;4;23;25;12;8;19;1;2;472;14736;195636;860992;380.017,5;687,5;10;4;2
6;2003-11-03;23;19;1;5;7;21;16;10;15;25;6;2;12;4;17;2;393;14242;162320;888301;489.140,1;1.066,8;10;4;2
7;2003-11-10;22;4;15;8;16;14;21;23;12;1;25;19;7;10;18;9;1333;25878;206828;967358;104.625,3;301,6;10;4;2
8;2003-11-17;19;16;18;9;13;8;5;25;17;10;6;15;1;22;20;1;256;11414;149037;926910;1.201.958,1;2.012,2;10;4;2
9;2003-11-24;21;4;17;5;3;13;16;9;20;24;25;19;11;15;10;3;407;14973;213511;1104328;336.053,7;1.061,6;10;4;2
10;2003-12-01;24;19;8;23;6;2;20;11;9;3;4;10;5;12;14;0;380;15767;207355;1186563;0;1.157,1;10;4;2
11;2003-12-08;24;9;8;19;20;22;6;10;11;16;7;25;23;2;12;0;306;14249;216679;1343171;0;1.855,8;10;4;2
12;2003-12-15;11;5;25;1;9;8;16;4;7;24;17;2;12;14;10;1;631;24400;322557;1607584;3.490.966,2;771,3;10;4;2
13;2003-12-22;13;6;10;5;8;14;3;11;16;15;9;17;19;7;23;3;714;27399;320961;1501354;269.157,2;482,8;10;4;2
14;2003-12-29;14;21;13;19;20;6;9;5;7;23;18;1;15;2;25;3;444;15413;214582;1149506;411.362,9;1.191,2;10;4;2
15;2004-01-05;23;6;21;4;10;24;16;1;15;2;8;19;12;18;25;22;2059;38038;379994;1198158;27.525,7;125,6;10;4;2
16;2004-01-12;24;17;5;8;7;12;13;2;15;10;19;25;23;21;6;9;1086;29005;329409;1471908;83.935,8;297;10;4;2
17;2004-01-19;13;20;17;1;6;7;2;14;5;9;16;19;3;21;18;1;320;14425;232740;1083387;1.427.169,9;1.911,4;10;4;2
18;2004-01-26;2;23;10;7;11;14;17;22;15;6;24;8;19;20;18;3;309;12373;174339;1079894;487.887,6;2.030;10;4;2
19;2004-02-02;15;17;10;23;11;24;13;14;6;2;8;5;20;16;7;10;818;23594;326913;1333412;82.040,1;428,2;10;4;2
20;2004-02-09;4;9;8;24;16;20;3;17;18;19;7;6;23;14;10;9;931;19580;266087;1462294;122.882;507,2;10;4;2
21;2004-02-16;5;2;1;22;19;8;24;4;25;23;18;20;14;11;16;3;316;13077;203475;1211951;530.990,2;2.160,4;10;4;2
22;2004-02-25;13;15;5;9;7;10;1;3;22;2;25;14;6;4;12;1;484;55372;152738;868693;1.081.149,9;957,3;10;4;2
23;2004-03-01;10;11;5;19;18;14;6;4;20;1;8;3;12;16;17;1;541;16248;215670;1187602;1.178.452,1;933,5;10;4;2
24;2004-03-08;1;19;21;14;2;23;25;5;20;11;7;10;24;17;3;2;585;22453;258724;1286374;662.295,9;970,4;10;4;2
25;2004-03-15;4;23;20;2;5;13;7;9;24;3;1;6;14;22;16;0;417;16108;213231;1288117;0;1.437,7;10;4;2
26;2004-03-22;19;11;7;16;8;21;5;10;20;13;23;9;17;14;22;3;602;22397;317722;1659205;970.676,2;1.077,2;10;4;2
27;2004-03-29;25;6;22;21;11;24;3;14;12;13;20;8;10;15;18;2;466;15650;216827;1192912;811.005,4;1.491,7;10;4;2
28;2004-04-05;18;21;11;7;9;3;20;16;14;12;13;17;1;19;10;2;556;22300;307113;1363336;536.916,7;827,7;10;4;2
29;2004-04-12;13;14;6;1;24;4;8;5;17;22;21;19;20;9;16;5;456;14375;181147;1203109;317.538,8;1.492,2;10;4;2
30;2004-04-19;22;2;1;17;8;4;19;20;11;14;6;21;7;23;3;2;345;13480;184916;1136035;813.271,3;2.020,5;10;4;2
31;2004-04-26;1;3;22;14;21;17;24;15;20;13;2;19;4;25;9;3;250;13005;189635;1161305;503.451,7;2.589,2;10;4;2
32;2004-05-03;10;14;9;16;15;7;22;6;4;2;1;17;23;11;20;2;384;14060;199525;1175480;706.634,9;1.577,3;10;4;2
33;2004-05-10;8;20;12;16;10;21;5;2;23;19;11;24;1;14;7;9;1358;35450;328729;1417927;109.171,8;308,9;10;4;2
34;2004-05-17;7;19;16;10;23;4;18;11;8;9;20;21;1;2;15;0;407;16589;216210;1359006;0;1.381,2;10;4;2
35;2004-05-24;12;1;13;23;19;21;17;11;22;6;25;16;14;5;4;1;291;12750;191524;1338198;3.155.820;2.716;10;4;2
36;2004-05-31;7;23;10;20;1;21;4;8;11;19;17;22;24;14;5;6;1573;40526;453277;1414816;92.828,4;151,2;10;4;2
37;2004-06-07;24;20;5;15;10;22;21;3;1;23;11;4;13;8;9;1;283;11976;182815;1220504;1.371.528,3;2.077;10;4;2
38;2004-06-14;14;13;8;16;1;10;3;7;15;25;9;2;24;6;22;0;298;12361;181763;1122407;0;2.240,9;10;4;2
39;2004-06-21;14;15;7;19;8;9;22;17;23;18;2;11;24;13;21;3;915;31607;352332;1626512;888.003,6;516;10;4;2
40;2004-06-28;10;17;16;12;14;24;8;7;5;20;21;1;13;2;22;9;650;20792;266561;1331593;129.462,7;765,3;10;4;2
41;2004-07-05;25;4;23;18;17;19;15;13;9;3;12;20;21;16;2;5;431;16555;218669;1304019;285.091,6;1.417,4;10;4;2
42;2004-07-12;1;24;12;25;4;3;21;8;11;6;15;22;14;17;5;1;351;14288;205537;1065540;1.731.431,1;2.114,1;10;4;2
43;2004-07-19;23;22;3;17;1;24;14;19;8;6;9;18;20;7;10;2;448;31225;257520;1394077;550.553,8;1.053,4;10;4;2
44;2004-07-26;23;21;12;19;5;4;6;13;14;10;3;18;24;11;25;0;334;12675;172526;1140441;0;2.056,9;10;4;2
45;2004-08-02;1;23;14;16;2;19;18;7;21;9;24;25;17;5;3;4;602;23232;353114;1591989;731.525,9;941,9;10;4;2
46;2004-08-09;6;14;8;11;24;18;19;23;2;5;4;21;10;1;25;4;825;24898;340899;1460500;308.549,1;638,7;10;4;2
47;2004-08-16;6;8;25;18;20;5;11;10;15;13;4;22;3;2;1;16;933;25668;259783;1267303;94.685,4;693,3;10;4;2
48;2004-08-23;15;6;21;20;2;17;5;23;11;7;13;16;18;19;22;2;331;13606;193466;1299636;777.343,3;2.013;10;4;2
49;2004-08-30;11;2;24;8;20;16;4;13;19;6;15;22;5;23;21;0;673;22438;282506;1269761;0;806;10;4;2
50;2004-09-06;2;3;7;25;21;23;10;1;13;11;20;6;12;19;9;1;659;21583;298054;1545777;2.776.089;982,3;10;4;2
51;2004-09-13;8;1;13;14;5;22;21;7;6;23;3;17;20;11;16;2;765;22722;302341;1520867;545.229,3;608,6;10;4;2
52;2004-09-20;25;4;16;2;15;21;12;9;11;8;24;23;1;13;22;3;420;24265;205595;1156747;532.065,2;1.628,8;10;4;2
53;2004-09-27;23;3;7;17;20;14;12;2;18;24;6;1;11;9;19;4;564;19767;262234;1425498;269.888;820,3;10;4;2
54;2004-10-04;22;8;12;9;21;5;20;4;24;2;7;6;14;16;18;27;2269;40058;272073;1157000;46.149,8;234,5;10;4;2
55;2004-10-11;4;6;12;15;2;3;13;16;8;9;7;25;5;18;19;6;682;24083;253488;1334310;213.174,7;803,8;10;4;2
56;2004-10-18;19;1;5;14;16;15;17;2;13;22;20;12;23;9;24;0;401;17323;225472;1396834;0;1.427,3;10;4;2
57;2004-10-25;25;17;8;11;3;6;19;22;21;7;20;1;4;12;2;1;571;33796;229355;1390034;3.278.857,3;1.458,6;10;4;2
58;2004-11-01;20;14;11;13;19;18;15;16;5;3;6;12;17;22;4;6;559;17361;165098;1095964;294.482,8;1.354,6;10;4;2
59;2004-11-08;6;8;14;1;23;20;3;15;25;11;5;7;13;10;19;2;662;27187;351810;1707263;439.884,4;567,4;10;4;2
60;2004-11-16;17;22;16;5;3;2;18;8;25;11;1;19;4;23;24;3;362;30873;165747;1022631;485.556,5;1.724,5;10;4;2
61;2004-11-22;4;15;1;23;9;14;12;11;13;19;25;16;22;5;20;2;300;14553;253317;1311870;698.017,3;1.994,3;10;4;2
62;2004-11-29;9;7;1;13;20;11;3;17;25;8;14;16;15;18;24;5;432;19513;234116;1336449;282.087,7;1.399,2;10;4;2
63;2004-12-06;13;19;22;17;10;4;25;9;24;8;16;11;21;12;20;2;379;15221;209528;1301392;870.856,4;1.969,5;10;4;2
64;2004-12-13;13;1;10;6;25;23;14;9;7;2;18;8;20;3;17;4;525;20308;280806;1586899;323.455,3;1.056,2;10;4;2
65;2004-12-20;23;19;10;7;1;17;4;2;22;16;21;15;20;18;25;0;300;13067;218281;1147456;0;2.735,2;10;4;2
66;2004-12-27;8;10;23;17;11;20;2;14;21;22;15;16;24;4;1;8;834;25470;309390;1631513;434.105,5;800,7;10;4;2
67;2005-01-03;7;24;13;20;16;5;21;12;11;8;15;22;23;10;9;4;294;12324;205063;1212285;394.429,7;2.299,9;10;4;2
68;2005-01-10;9;1;25;16;6;3;5;22;7;12;8;10;2;17;23;2;368;14579;211030;1291340;853.689,7;1.988,4;10;4;2
69;2005-01-17;23;7;11;15;4;17;20;8;9;24;1;18;21;10;19;4;619;34720;283047;1543014;296.233,2;820,4;10;4;2
70;2005-01-24;14;5;9;24;6;15;12;19;20;1;2;25;16;10;3;6;611;19413;230116;1265554;264.323,9;1.112,4;10;4;2
71;2005-01-31;13;3;22;5;1;21;23;6;8;11;15;18;14;16;9;4;744;21490;276234;1289869;349.187,6;804,6;10;4;2
72;2005-02-09;2;16;5;25;23;11;18;13;24;15;1;7;8;12;17;2;485;16561;198957;1178585;571.665,4;1.010,3;10;4;2
73;2005-02-14;25;17;18;2;16;19;15;13;14;5;21;11;7;1;10;3;401;16615;240646;1388168;404.461,7;1.296,8;10;4;2
74;2005-02-21;8;25;3;1;2;22;16;4;5;15;6;18;13;23;11;7;861;36320;325482;1342101;165.704,4;575,2;10;4;2
75;2005-02-28;10;8;3;16;7;25;20;4;13;6;11;15;17;5;1;2;564;22764;330303;1538522;531.264,7;807,4;10;4;2
76;2005-03-07;15;5;12;10;19;16;21;17;25;9;13;1;23;8;3;13;2705;63452;463129;1672037;49.566,8;101,7;10;4;2
77;2005-03-14;6;20;4;9;11;17;3;8;2;21;24;14;22;25;18;4;742;21609;228257;1213259;434.837,9;1.004,6;10;4;2
78;2005-03-21;15;5;17;23;1;8;7;20;16;6;12;18;3;2;13;1;643;23291;317982;1617133;1.007.644,9;669,1;10;4;2
79;2005-03-28;15;14;17;2;22;24;5;23;20;9;12;18;25;1;3;1;443;17526;230930;1249856;1.429.789,2;1.383,2;10;4;2
80;2005-04-04;17;22;25;7;20;3;18;10;4;1;14;9;2;5;15;1;502;19706;292151;1294632;1.387.219,9;1.184,3;10;4;2
81;2005-04-11;13;2;7;19;17;15;1;4;6;21;3;11;5;16;10;6;866;29787;387171;1619963;160.734,7;475,5;10;4;2
82;2005-04-18;4;8;19;12;23;17;13;20;1;18;6;15;5;22;9;4;636;20746;250768;1418972;378.128,8;1.019,2;10;4;2
83;2005-04-25;23;10;25;20;14;3;1;6;2;11;8;13;12;24;5;3;505;19766;290953;1615749;370.701,9;943,8;10;4;2
84;2005-05-02;15;22;8;25;6;4;16;1;2;24;19;20;17;23;12;2;525;21813;263703;1419482;729.194,1;1.190,5;10;4;2
85;2005-05-09;1;2;11;21;16;8;23;7;18;22;14;15;5;13;9;13;988;41716;303054;1673514;86.488,6;485,9;10;4;2
86;2005-05-16;13;19;12;18;5;6;9;24;23;4;17;8;25;2;14;14;1437;33924;344925;1583126;81.060,9;337,2;10;4;2
87;2005-05-23;11;3;18;25;5;24;13;8;15;10;9;22;1;2;20;14;1308;46044;353024;1711252;62.917,5;287,5;10;4;2
88;2005-05-30;8;10;18;24;11;1;17;2;25;9;14;19;12;4;5;5;853;30153;318718;1383793;257.018,8;643,2;10;4;2
89;2005-06-06;23;16;1;12;21;25;17;19;13;20;24;15;6;11;22;2;528;59274;230638;1266634;858.145,4;1.393,1;10;4;2
90;2005-06-13;22;10;11;8;17;20;23;3;21;1;15;25;2;12;24;4;525;17979;236987;1539050;400.382,7;1.307,4;10;4;2
91;2005-06-20;16;23;1;25;22;14;9;13;11;10;12;15;4;20;17;2;428;23937;203510;1341264;880.833,6;1.764;10;4;2
92;2005-06-27;17;6;4;1;8;15;2;19;14;13;12;18;21;24;22;5;714;22604;257642;1433995;290.246,7;871,1;10;4;2
93;2005-07-04;4;24;7;17;9;13;18;20;5;6;10;21;2;19;23;6;480;18433;230658;1352474;271.483,4;1.454,4;10;4;2
94;2005-07-11;21;9;13;12;11;15;4;22;24;16;8;18;23;2;17;2;573;29882;267884;1577059;694.861,3;1.039,4;10;4;2
95;2005-07-18;10;4;18;22;1;3;20;19;17;2;15;5;11;12;14;2;401;20787;231813;1294859;883.199,5;1.887,8;10;4;2
96;2005-07-25;9;17;24;6;16;10;23;18;14;19;4;3;12;21;22;1;454;16790;220370;1209732;1.793.190,4;1.692,8;10;4;2
97;2005-08-02;4;10;13;22;17;3;23;24;12;14;15;25;19;20;6;4;539;19062;237912;1490877;379.485,5;1.207;10;4;2
98;2005-08-08;24;17;15;25;8;18;22;6;1;11;23;20;5;2;10;5;1089;31800;376336;1625070;238.130,5;466,8;10;4;2
99;2005-08-15;4;7;24;25;20;14;1;2;10;16;17;11;21;13;3;4;695;19351;227907;1278734;424.895,9;1.048;10;4;2
100;2005-08-22;11;22;14;25;10;8;23;13;4;16;17;9;3;12;1;6;547;39008;241845;1371980;251.438,6;1.182;10;4;2
101;2005-08-29;7;6;14;19;13;3;21;23;1;24;16;17;9;20;10;9;917;26691;287551;1473207;144.911,7;607,2;10;4;2
102;2005-09-05;19;4;22;1;7;23;10;25;21;11;18;2;3;9;12;5;622;20635;267607;1361023;323.383,6;1.114,1;10;4;2
